x,y,event,description,ordinalNum
83.0,20.0,Shot,Mark Giordano Wrist Shot saved by Cal Petersen,1st
81.0,3.0,Missed Shot,Joonas Donskoi Wide of Net Cal Petersen,1st
32.0,-38.0,Shot,Colin Blackwell Wrist Shot saved by Cal Petersen,1st
89.0,-6.0,Shot,Riley Sheahan Wrap-around saved by Cal Petersen,1st
32.0,19.0,Shot,Carson Soucy Slap Shot saved by Cal Petersen,1st
67.0,4.0,Missed Shot,Joonas Donskoi Wide of Net Cal Petersen,1st
88.0,30.0,Shot,Riley Sheahan Wrist Shot saved by Cal Petersen,1st
72.0,0.0,Shot,Marcus Johansson Wrist Shot saved by Cal Petersen,2nd
87.0,-5.0,Shot,Jamie Oleksiak Wrist Shot saved by Cal Petersen,2nd
50.0,21.0,Missed Shot,Jared McCann Wide of Net Cal Petersen,2nd
70.0,18.0,Missed Shot,Yanni Gourde Wide of Net Cal Petersen,2nd
44.0,25.0,Shot,Mark Giordano Slap Shot saved by Cal Petersen,2nd
80.0,-3.0,Goal,"Marcus Johansson (4) Wrist Shot, assists: Calle Jarnkrok (7), Mark Giordano (8)",2nd
64.0,19.0,Missed Shot,Jared McCann Goalpost Cal Petersen,2nd
66.0,21.0,Shot,Jared McCann Slap Shot saved by Cal Petersen,2nd
69.0,-23.0,Missed Shot,Alex Wennberg Wide of Net Cal Petersen,2nd
63.0,-24.0,Shot,Alex Wennberg Wrist Shot saved by Cal Petersen,2nd
76.0,11.0,Missed Shot,Jordan Eberle Wide of Net Cal Petersen,2nd
54.0,-15.0,Shot,Ryan Donato Slap Shot saved by Cal Petersen,2nd
72.0,0.0,Missed Shot,Riley Sheahan Over Net Cal Petersen,2nd
74.0,10.0,Missed Shot,Joonas Donskoi Wide of Net Cal Petersen,2nd
34.0,32.0,Shot,Vince Dunn Wrist Shot saved by Cal Petersen,3rd
69.0,28.0,Shot,Jared McCann Wrist Shot saved by Cal Petersen,3rd
58.0,-14.0,Missed Shot,Jared McCann Wide of Net Cal Petersen,3rd
79.0,-32.0,Shot,Yanni Gourde Backhand saved by Cal Petersen,3rd
31.0,-34.0,Shot,Adam Larsson Wrist Shot saved by Cal Petersen,3rd
35.0,30.0,Shot,Adam Larsson Snap Shot saved by Cal Petersen,3rd
73.0,-18.0,Shot,Yanni Gourde Snap Shot saved by Cal Petersen,3rd
