x,y,event,description,ordinalNum
-61.0,-32.0,Shot,Steven Stamkos Wrist Shot saved by Tristan Jarry,1st
-65.0,19.0,Shot,Brock McGinn Wrist Shot saved by Andrei Vasilevskiy,1st
-8.0,-27.0,Shot,Jan Rutta Wrist Shot saved by Tristan Jarry,1st
-60.0,-4.0,Shot,Danton Heinen Wrist Shot saved by Andrei Vasilevskiy,1st
-63.0,4.0,Shot,Ondrej Palat Wrist Shot saved by Tristan Jarry,1st
-63.0,-33.0,Shot,Mark Friedman Wrist Shot saved by Andrei Vasilevskiy,1st
-61.0,-10.0,Shot,Dominik Simon Slap Shot saved by Andrei Vasilevskiy,1st
-64.0,31.0,Shot,Victor Hedman Wrist Shot saved by Tristan Jarry,1st
-75.0,-9.0,Shot,Bryan Rust Backhand saved by Andrei Vasilevskiy,1st
-73.0,12.0,Shot,Drew O'Connor Wrist Shot saved by Andrei Vasilevskiy,1st
-66.0,-17.0,Shot,Brian Boyle Wrist Shot saved by Andrei Vasilevskiy,1st
-58.0,7.0,Shot,Kasperi Kapanen Wrist Shot saved by Andrei Vasilevskiy,1st
-72.0,0.0,Shot,Kris Letang Tip-In saved by Andrei Vasilevskiy,1st
-32.0,35.0,Missed Shot,Chad Ruhwedel Wide of Net Andrei Vasilevskiy,1st
-81.0,-4.0,Shot,Dominik Simon Wrist Shot saved by Andrei Vasilevskiy,1st
-48.0,34.0,Missed Shot,Victor Hedman Wide of Net Tristan Jarry,1st
-48.0,4.0,Shot,Jeff Carter Wrist Shot saved by Andrei Vasilevskiy,1st
-49.0,28.0,Missed Shot,Victor Hedman Wide of Net Tristan Jarry,1st
-61.0,33.0,Missed Shot,Teddy Blueger Wide of Net Andrei Vasilevskiy,1st
-63.0,6.0,Shot,Ross Colton Snap Shot saved by Tristan Jarry,1st
-37.0,-31.0,Missed Shot,Brian Dumoulin Wide of Net Andrei Vasilevskiy,1st
-42.0,30.0,Missed Shot,Kris Letang Wide of Net Andrei Vasilevskiy,1st
-41.0,8.0,Shot,Erik Cernak Slap Shot saved by Tristan Jarry,1st
