Event,Shooter,Goalie,X,Y
Shot,Ben Lovejoy,Devan Dubnyk,-70,10
Shot,Taylor Hall,Devan Dubnyk,89,-9
Shot,Ben Lovejoy,Devan Dubnyk,39,30
Shot,Blake Coleman,Devan Dubnyk,-60,0
Shot,Miles Wood,Devan Dubnyk,-82,-5
Shot,Miles Wood,Devan Dubnyk,-78,-3
Shot,Will Butcher,Devan Dubnyk,-39,-17
Shot,Taylor Hall,Devan Dubnyk,-76,-37
Shot,Kyle Palmeri,Devan Dubnyk,-72,26
Shot,Will Butcher,Devan Dubnyk,-40,-8
Shot,Nico hishier,Devan Dubnyk,-82,9
Shot,Pavel Zacha,Devan Dubnyk,-61,16
Shot,Pavel Zacha,Devan Dubnyk,-49,-17
Shot,Taylor Hall,Devan Dubnyk,51,-9
Shot,Adam Henrique,Devan Dubnyk,81,-6
Shot,John Moore,Devan Dubnyk,51,21
Shot,Brian Gibbons,Devan Dubnyk,78,4
Shot,Taylor Hall,Devan Dubnyk,55,28
Shot,Jesper Bratt,Devan Dubnyk,63,29
Shot,Blake Coleman,Devan Dubnyk,87,25
Shot,Kyle Palmeri,Devan Dubnyk,83,-18
