Event,Shooter,Goalie,X,Y
Shot,Kevin Fiala,Louis domingue,59,-22
Shot,Kyle turris,Louis domingue,79,13
Shot,Dan Hamhuis,Louis domingue,30,34
Shot,Dan Hamhuis,Louis domingue,37,33
Shot,Anthony Bitetto,Louis domingue,31,29
Shot,Ryan Hartman,Louis domingue,75,-5
Shot,Craig Smith,Louis domingue,63,-8
Shot,Nick Bonino,Louis domingue,86,8
Shot,Roman Josi,Louis domingue,52,-25
Shot,Roman Josi,Louis domingue,40,-24
Shot,Mattias Ekholm,Louis domingue,37,-10
Shot,Miikka Salomaki,Louis domingue,58,23
Shot,Craig Smith,Louis domingue,55,14
Shot,Ryan Hartman,Louis domingue,54,-18
Shot,Colton Sissons,Louis domingue,51,20
Shot,Miikka Salomaki,Louis domingue,-83,-3
Shot,Craig Smith,Louis domingue,-58,30
Shot,Colton Sissons,Louis domingue,-83,12
Shot,Miikka Salomaki,Louis domingue,-84,-1
Shot,Kevin Fiala,Louis domingue,-63,16
Shot,Mattias Ekholm,Louis domingue,-37,29
Shot,Colton Sissons,Louis domingue,-81,9
Shot,Calle Jarnkrok,Louis domingue,-56,16
Shot,Kevin Fiala,Louis domingue,-75,-18
Shot,Dan Hamhuis,Louis domingue,-37,23
Shot,Filip Forsberg,Louis domingue,-63,-21
Shot,Austin Watson,Louis domingue,77,23
Shot,Austin Watson,Louis domingue,80,-17
Shot,Yannick Webber,Louis domingue,37,-31
Shot,Colton Sissons,Louis domingue,45,-18
Shot,Kyle Turris,Louis domingue,68,-1
