Event,Shooter,Goalie,X,Y
Shot,Matt Cullen,Cory Schneider,-88,7
Shot,Nino Niederreiter,Cory Schneider,-30,14
Shot,Jared Spurgeon,Cory Schneider,-43,28
Shot,Matt Cullen,Cory Schneider,-81,1
Shot,Nino Niederreiter,Cory Schneider,-46,12
Shot,Mikko Koivu,Cory Schneider,-78,-16
Shot,Luke Kunin,Cory Schneider,-9,2
Shot,Marcus Foligno,Cory Schneider,-47,38
Shot,Eric Staal,Cory Schneider,-87,26
Shot,Tyler Ennis,Cory Schneider,-82,-12
Shot,Ryan Suter,Cory Schneider,-63,29
Shot,Jonas Brodin,Cory Schneider,-34,-8
Shot,Mikael Granlund,Cory Schneider,45,20
Shot,Matt Dumba,Cory Schneider,73,28
Shot,Matt Dumba,Cory Schneider,30,-22
Shot,Nino Niederreiter,Cory Schneider,55,-19
Shot,Eric Staal,Cory Schneider,62,-13
Shot,Ryan Suter,Cory Schneider,65,32
Shot,Matt Dumba,Cory Schneider,89,-31
Shot,Eric Staal,Cory Schneider,-56,21
Shot,Jonas Brodin,Cory Schneider,25,31
Shot,Mikko Koivu,Cory Schneider,69,25
Shot,Mikael Granlund,Cory Schneider,-56,13
Shot,Jonas Brodin,Cory Schneider,-34,-3
Shot,Kyle Quincey,Cory Schneider,-41,2
Shot,Jared Spurgeon,Cory Schneider,-35,9
Shot,Ryan Suter,Cory Schneider,-57,-34
Shot,Mikael Granlund,Cory Schneider,-71,-18
Shot,Mikko Koivu,Cory Schneider,-58,27
Shot,Nino Niederreiter,Cory Schneider,-72,4
Shot,Jared Spurgeon,Cory Schneider,-84,-3
Shot,Mikael Granlund,Cory Schneider,-57,16
Shot,Ryan Suter,Cory Schneider,-12,-17
