x,y,event,description,ordinalNum
59.0,26.0,Shot,Christian Fischer Snap Shot saved by Elvis Merzlikins,1st
77.0,-6.0,Shot,Andrew Ladd Tip-In saved by Elvis Merzlikins,1st
66.0,-15.0,Shot,Antoine Roussel Wrist Shot saved by Elvis Merzlikins,1st
61.0,26.0,Missed Shot,Johan Larsson Wide of Net Elvis Merzlikins,1st
44.0,-17.0,Missed Shot,Shayne Gostisbehere Wide of Net Elvis Merzlikins,1st
36.0,22.0,Shot,Shayne Gostisbehere Slap Shot saved by Elvis Merzlikins,1st
68.0,-11.0,Missed Shot,Jakob Chychrun Wide of Net Elvis Merzlikins,1st
67.0,-17.0,Shot,Clayton Keller Wrist Shot saved by Elvis Merzlikins,1st
54.0,-12.0,Shot,Lawson Crouse Snap Shot saved by Elvis Merzlikins,1st
40.0,-19.0,Shot,Jakob Chychrun Slap Shot saved by Elvis Merzlikins,1st
54.0,-22.0,Shot,Clayton Keller Wrist Shot saved by Elvis Merzlikins,1st
61.0,-11.0,Shot,Nick Schmaltz Wrist Shot saved by Elvis Merzlikins,1st
50.0,-19.0,Shot,Anton Stralman Wrist Shot saved by Elvis Merzlikins,1st
68.0,-6.0,Missed Shot,Lawson Crouse Wide of Net Elvis Merzlikins,1st
63.0,-1.0,Shot,Johan Larsson Wrist Shot saved by Elvis Merzlikins,1st
49.0,-14.0,Missed Shot,Jakob Chychrun Wide of Net Elvis Merzlikins,1st
37.0,-15.0,Missed Shot,Jakob Chychrun Wide of Net Elvis Merzlikins,1st
45.0,-32.0,Goal,"Anton Stralman (1) Slap Shot, assists: Lawson Crouse (1), Johan Larsson (1)",2nd
83.0,8.0,Missed Shot,Dmitrij Jaskin Wide of Net Elvis Merzlikins,2nd
47.0,29.0,Missed Shot,Jakob Chychrun Over Net Elvis Merzlikins,2nd
77.0,5.0,Shot,Lawson Crouse Tip-In saved by Elvis Merzlikins,2nd
50.0,-1.0,Missed Shot,Nick Schmaltz Over Net Elvis Merzlikins,2nd
