x,y,event
99.0,42.0,Faceoff
145.0,82.0,Hit
99.0,42.0,Faceoff
149.0,3.0,Hit
160.0,10.0,Shot
168.0,20.0,Faceoff
144.0,20.0,Takeaway
159.0,25.0,Blocked Shot
34.0,61.0,Shot
32.0,2.0,Hit
91.0,15.0,Shot
30.0,64.0,Faceoff
29.0,55.0,Hit
39.0,38.0,Shot
30.0,20.0,Faceoff
162.0,46.0,Shot
151.0,21.0,Blocked Shot
30.0,64.0,Faceoff
28.0,53.0,Blocked Shot
4.0,65.0,Hit
30.0,20.0,Faceoff
36.0,9.0,Shot
30.0,20.0,Faceoff
38.0,32.0,Shot
30.0,20.0,Faceoff
16.0,6.0,Hit
163.0,73.0,Shot
24.0,33.0,Shot
175.0,41.0,Blocked Shot
30.0,20.0,Faceoff
112.0,83.0,Takeaway
72.0,5.0,Hit
26.0,54.0,Shot
23.0,43.0,Blocked Shot
33.0,25.0,Shot
30.0,20.0,Faceoff
68.0,2.0,Hit
41.0,49.0,Shot
30.0,64.0,Faceoff
27.0,42.0,Shot
30.0,20.0,Faceoff
39.0,4.0,Hit
41.0,82.0,Hit
26.0,51.0,Blocked Shot
67.0,77.0,Missed Shot
68.0,83.0,Hit
68.0,83.0,Hit
197.0,30.0,Hit
195.0,19.0,Hit
30.0,64.0,Faceoff
33.0,83.0,Hit
195.0,62.0,Hit
18.0,38.0,Shot
17.0,81.0,Hit
30.0,20.0,Faceoff
64.0,13.0,Takeaway
196.0,58.0,Hit
174.0,38.0,Blocked Shot
168.0,20.0,Faceoff
147.0,76.0,Missed Shot
127.0,5.0,Giveaway
51.0,46.0,Shot
148.0,70.0,Missed Shot
17.0,50.0,Blocked Shot
186.0,13.0,Giveaway
119.0,20.0,Faceoff
197.0,60.0,Hit
38.0,75.0,Missed Shot
139.0,27.0,Takeaway
162.0,48.0,Shot
132.0,3.0,Hit
4.0,62.0,Hit
155.0,22.0,Takeaway
119.0,64.0,Faceoff
62.0,11.0,Missed Shot
5.0,71.0,Hit
57.0,72.0,Missed Shot
140.0,50.0,Shot
194.0,56.0,Hit
90.0,3.0,Hit
163.0,26.0,Hit
171.0,46.0,Blocked Shot
175.0,41.0,Blocked Shot
168.0,64.0,Faceoff
119.0,20.0,Faceoff
24.0,70.0,Shot
18.0,45.0,Shot
196.0,19.0,Hit
167.0,81.0,Hit
168.0,20.0,Faceoff
150.0,27.0,Shot
168.0,20.0,Faceoff
49.0,66.0,Shot
99.0,42.0,Faceoff
197.0,37.0,Giveaway
173.0,33.0,Goal
99.0,42.0,Faceoff
99.0,42.0,Faceoff
46.0,83.0,Hit
155.0,56.0,Blocked Shot
183.0,78.0,Hit
153.0,35.0,Missed Shot
160.0,45.0,Shot
176.0,81.0,Hit
169.0,58.0,Missed Shot
7.0,74.0,Hit
189.0,8.0,Hit
17.0,28.0,Blocked Shot
30.0,20.0,Faceoff
180.0,76.0,Giveaway
170.0,51.0,Missed Shot
171.0,44.0,Goal
99.0,42.0,Faceoff
155.0,82.0,Hit
19.0,46.0,Shot
62.0,23.0,Missed Shot
130.0,22.0,Shot
195.0,22.0,Hit
168.0,64.0,Faceoff
175.0,65.0,Missed Shot
193.0,68.0,Hit
62.0,28.0,Shot
89.0,4.0,Hit
156.0,71.0,Shot
54.0,51.0,Missed Shot
46.0,23.0,Shot
30.0,20.0,Faceoff
119.0,20.0,Faceoff
17.0,6.0,Hit
182.0,48.0,Shot
168.0,64.0,Faceoff
173.0,52.0,Shot
190.0,65.0,Takeaway
27.0,16.0,Hit
178.0,55.0,Shot
173.0,51.0,Shot
30.0,64.0,Faceoff
40.0,66.0,Missed Shot
19.0,40.0,Blocked Shot
30.0,20.0,Faceoff
178.0,80.0,Giveaway
178.0,42.0,Blocked Shot
165.0,41.0,Shot
56.0,3.0,Hit
22.0,25.0,Blocked Shot
6.0,21.0,Hit
197.0,57.0,Hit
184.0,78.0,Hit
56.0,80.0,Penalty
30.0,64.0,Faceoff
27.0,47.0,Missed Shot
33.0,44.0,Shot
30.0,20.0,Faceoff
30.0,64.0,Faceoff
54.0,73.0,Missed Shot
22.0,40.0,Shot
18.0,48.0,Shot
30.0,64.0,Faceoff
21.0,44.0,Blocked Shot
46.0,23.0,Shot
62.0,82.0,Penalty
168.0,20.0,Faceoff
190.0,74.0,Hit
22.0,49.0,Blocked Shot
30.0,20.0,Faceoff
178.0,42.0,Blocked Shot
179.0,54.0,Shot
22.0,41.0,Blocked Shot
4.0,57.0,Hit
119.0,64.0,Faceoff
129.0,69.0,Shot
99.0,42.0,Faceoff
173.0,22.0,Shot
18.0,78.0,Takeaway
138.0,63.0,Missed Shot
147.0,9.0,Shot
168.0,20.0,Faceoff
29.0,64.0,Hit
46.0,47.0,Shot
30.0,64.0,Faceoff
57.0,72.0,Shot
30.0,64.0,Faceoff
18.0,40.0,Shot
30.0,20.0,Faceoff
195.0,64.0,Hit
168.0,64.0,Faceoff
139.0,70.0,Missed Shot
79.0,20.0,Faceoff
119.0,64.0,Faceoff
119.0,64.0,Faceoff
16.0,60.0,Shot
30.0,64.0,Faceoff
169.0,5.0,Hit
131.0,69.0,Takeaway
155.0,47.0,Shot
168.0,64.0,Faceoff
173.0,4.0,Hit
155.0,30.0,Blocked Shot
164.0,30.0,Hit
162.0,60.0,Missed Shot
153.0,37.0,Blocked Shot
164.0,82.0,Hit
57.0,46.0,Missed Shot
20.0,44.0,Blocked Shot
195.0,32.0,Hit
159.0,74.0,Missed Shot
21.0,73.0,Giveaway
54.0,3.0,Hit
0.0,54.0,Hit
30.0,64.0,Faceoff
197.0,59.0,Hit
149.0,8.0,Giveaway
38.0,56.0,Missed Shot
38.0,33.0,Missed Shot
19.0,45.0,Blocked Shot
30.0,64.0,Faceoff
26.0,28.0,Shot
47.0,71.0,Goal
99.0,42.0,Faceoff
91.0,77.0,Shot
193.0,62.0,Hit
139.0,18.0,Shot
168.0,20.0,Faceoff
159.0,42.0,Blocked Shot
1.0,30.0,Hit
6.0,63.0,Hit
46.0,14.0,Shot
30.0,20.0,Faceoff
119.0,64.0,Faceoff
195.0,68.0,Hit
171.0,76.0,Shot
168.0,64.0,Faceoff
183.0,37.0,Shot
168.0,20.0,Faceoff
174.0,43.0,Goal
99.0,42.0,Faceoff
36.0,56.0,Goal
99.0,42.0,Faceoff
48.0,53.0,Blocked Shot
48.0,61.0,Blocked Shot
168.0,20.0,Faceoff
119.0,64.0,Faceoff
177.0,44.0,Shot
168.0,52.0,Goal
99.0,42.0,Faceoff
152.0,43.0,Missed Shot
130.0,74.0,Goal
99.0,42.0,Faceoff
123.0,52.0,Goal
99.0,42.0,Faceoff
119.0,20.0,Faceoff
24.0,19.0,Missed Shot
99.0,42.0,Faceoff
193.0,19.0,Hit
168.0,64.0,Faceoff
144.0,44.0,Shot
155.0,71.0,Shot
136.0,14.0,Shot
99.0,42.0,Faceoff
129.0,78.0,Shot
174.0,46.0,Blocked Shot
172.0,29.0,Missed Shot
190.0,69.0,Penalty
168.0,20.0,Faceoff
195.0,47.0,Hit
191.0,53.0,Giveaway
153.0,15.0,Shot
180.0,45.0,Blocked Shot
173.0,41.0,Blocked Shot
134.0,48.0,Takeaway
166.0,23.0,Shot
102.0,5.0,Hit
34.0,22.0,Goal
99.0,42.0,Faceoff
30.0,64.0,Faceoff
22.0,47.0,Blocked Shot
11.0,53.0,Shot
8.0,74.0,Hit
30.0,20.0,Faceoff
5.0,53.0,Giveaway
0.0,44.0,Hit
35.0,21.0,Takeaway
142.0,76.0,Shot
168.0,64.0,Faceoff
149.0,11.0,Shot
128.0,6.0,Missed Shot
186.0,69.0,Hit
191.0,72.0,Hit
157.0,55.0,Shot
164.0,51.0,Blocked Shot
192.0,71.0,Hit
150.0,20.0,Shot
38.0,56.0,Blocked Shot
20.0,12.0,Giveaway
11.0,46.0,Goal
99.0,42.0,Faceoff
183.0,7.0,Hit
129.0,4.0,Missed Shot
184.0,78.0,Shot
168.0,64.0,Faceoff
70.0,4.0,Missed Shot
30.0,20.0,Faceoff
160.0,21.0,Takeaway
