x,y,event,description,ordinalNum
76.0,7.0,Shot,Andrei Svechnikov Backhand saved by Ilya Sorokin,1st
80.0,3.0,Shot,Steven Lorentz Tip-In saved by Ilya Sorokin,1st
57.0,19.0,Missed Shot,Martin Necas Wide of Net Ilya Sorokin,1st
81.0,-4.0,Missed Shot,Sebastian Aho Wide of Net Ilya Sorokin,1st
78.0,-6.0,Missed Shot,Andrei Svechnikov Wide of Net Ilya Sorokin,1st
81.0,-2.0,Goal,Andrei Svechnikov (1) Tip-In, assists: Teuvo Teravainen (1), Ethan Bear (1),1st
11.0,-32.0,Shot,Derek Stepan Wrist Shot saved by Ilya Sorokin,1st
61.0,-4.0,Shot,Vincent Trocheck Snap Shot saved by Ilya Sorokin,1st
77.0,-12.0,Goal,Jesper Fast (1) Wrist Shot, assists: Jaccob Slavin (1), Jordan Staal (1),1st
82.0,28.0,Shot,Tony DeAngelo Snap Shot saved by Ilya Sorokin,1st
43.0,-25.0,Missed Shot,Ian Cole Wide of Net Ilya Sorokin,1st
27.0,-28.0,Missed Shot,Teuvo Teravainen Wide of Net Ilya Sorokin,1st
40.0,-25.0,Shot,Ian Cole Snap Shot saved by Ilya Sorokin,1st
37.0,35.0,Shot,Jaccob Slavin Wrist Shot saved by Ilya Sorokin,2nd
69.0,40.0,Shot,Jaccob Slavin Snap Shot saved by Ilya Sorokin,2nd
51.0,-9.0,Shot,Teuvo Teravainen Slap Shot saved by Ilya Sorokin,2nd
55.0,25.0,Shot,Andrei Svechnikov Snap Shot saved by Ilya Sorokin,2nd
29.0,-1.0,Shot,Tony DeAngelo Wrist Shot saved by Ilya Sorokin,2nd
82.0,1.0,Shot,Jordan Staal Tip-In saved by Ilya Sorokin,2nd
50.0,-17.0,Shot,Derek Stepan Snap Shot saved by Ilya Sorokin,2nd
55.0,35.0,Shot,Nino Niederreiter Snap Shot saved by Ilya Sorokin,2nd
52.0,-38.0,Shot,Tony DeAngelo Snap Shot saved by Ilya Sorokin,2nd
61.0,-9.0,Goal,Jordan Martinook (1) Snap Shot, assists: none,2nd
88.0,6.0,Shot,Vincent Trocheck Wrap-around saved by Ilya Sorokin,2nd
51.0,-15.0,Shot,Vincent Trocheck Slap Shot saved by Ilya Sorokin,2nd
82.0,-16.0,Missed Shot,Vincent Trocheck Goalpost Ilya Sorokin,2nd
60.0,-10.0,Missed Shot,Andrei Svechnikov Wide of Net Ilya Sorokin,2nd
30.0,0.0,Shot,Jaccob Slavin Slap Shot saved by Ilya Sorokin,2nd
36.0,37.0,Missed Shot,Ian Cole Wide of Net Ilya Sorokin,2nd
32.0,-12.0,Shot,Tony DeAngelo Slap Shot saved by Ilya Sorokin,2nd
83.0,0.0,Shot,Nino Niederreiter Wrist Shot saved by Ilya Sorokin,2nd
84.0,0.0,Goal,Nino Niederreiter (1) Deflected, assists: none,2nd
45.0,-17.0,Shot,Teuvo Teravainen Wrist Shot saved by Ilya Sorokin,2nd
77.0,1.0,Shot,Sebastian Aho Tip-In saved by Ilya Sorokin,2nd
80.0,-2.0,Missed Shot,Vincent Trocheck Wide of Net Ilya Sorokin,2nd
37.0,10.0,Shot,Nino Niederreiter Wrist Shot saved by Ilya Sorokin,2nd
77.0,16.0,Shot,Derek Stepan Backhand saved by Ilya Sorokin,2nd
42.0,37.0,Shot,Jaccob Slavin Snap Shot saved by Ilya Sorokin,2nd
70.0,-10.0,Shot,Jordan Staal Snap Shot saved by Ilya Sorokin,2nd
47.0,-23.0,Missed Shot,Jaccob Slavin Wide of Net Ilya Sorokin,3rd
