x,y,group
99,42,A
145,82,A
99,42,A
149,3,A
160,10,A
168,20,A
144,20,A
159,25,A
34,61,A
32,2,A
91,15,A
30,64,A
29,55,A
39,38,A
30,20,A
162,46,A
151,21,A
30,64,A
28,53,A
4,65,A
30,20,A
36,9,A
30,20,A
38,32,A
30,20,A
16,6,A
163,73,A
24,33,A
175,41,A
30,20,A
112,83,A
72,5,A
26,54,A
23,43,A
33,25,A
30,20,A
68,2,A
41,49,A
30,64,A
27,42,A
30,20,A
39,4,A
41,82,A
26,51,A
67,77,A
68,83,A
68,83,A
197,30,A
195,19,A
30,64,A
33,83,A
195,62,A
18,38,A
17,81,A
30,20,A
64,13,A
196,58,A
174,38,A
168,20,A
147,76,A
127,5,A
51,46,A
148,70,A
17,50,A
186,13,A
119,20,A
197,60,A
38,75,A
139,27,A
162,48,A
132,3,A
4,62,A
155,22,A
119,64,A
62,11,A
5,71,A
57,72,A
140,50,A
194,56,A
90,3,A
163,26,A
171,46,A
175,41,A
168,64,A
119,20,A
24,70,A
18,45,A
196,19,A
167,81,A
168,20,A
150,27,A
168,20,A
49,66,A
99,42,A
197,37,A
173,33,A
99,42,A
99,42,A
46,83,A
155,56,A
183,78,A
153,35,A
160,45,A
176,81,A
169,58,A
7,74,A
189,8,A
17,28,A
30,20,A
180,76,A
170,51,A
171,44,A
99,42,A
155,82,A
19,46,A
62,23,A
130,22,A
195,22,A
168,64,A
175,65,A
193,68,A
62,28,A
89,4,A
156,71,A
54,51,A
46,23,A
30,20,A
119,20,A
17,6,A
182,48,A
168,64,A
173,52,A
190,65,A
27,16,A
178,55,A
173,51,A
30,64,A
40,66,A
19,40,A
30,20,A
178,80,A
178,42,A
165,41,A
56,3,A
22,25,A
6,21,A
197,57,A
184,78,A
56,80,A
30,64,A
27,47,A
33,44,A
30,20,A
30,64,A
54,73,A
22,40,A
18,48,A
30,64,A
21,44,A
46,23,A
62,82,A
168,20,A
190,74,A
22,49,A
30,20,A
178,42,A
179,54,A
22,41,A
4,57,A
119,64,A
129,69,A
99,42,A
173,22,A
18,78,A
138,63,A
147,9,A
168,20,A
29,64,A
46,47,A
30,64,A
57,72,A
30,64,A
18,40,A
30,20,A
195,64,A
168,64,A
139,70,A
79,20,A
119,64,A
119,64,A
16,60,A
30,64,A
169,5,A
131,69,A
155,47,A
168,64,A
173,4,A
155,30,A
164,30,A
162,60,A
153,37,A
164,82,A
57,46,A
20,44,A
195,32,A
159,74,A
21,73,A
54,3,A
0,54,A
30,64,A
197,59,A
149,8,A
38,56,A
38,33,A
19,45,A
30,64,A
26,28,A
47,71,A
99,42,A
91,77,A
193,62,A
139,18,A
168,20,A
159,42,A
1,30,A
6,63,A
46,14,A
30,20,A
119,64,A
195,68,A
171,76,A
168,64,A
183,37,A
168,20,A
174,43,A
99,42,A
36,56,A
99,42,A
48,53,A
48,61,A
168,20,A
119,64,A
177,44,A
168,52,A
99,42,A
152,43,A
130,74,A
99,42,A
123,52,A
99,42,A
119,20,A
24,19,A
99,42,A
193,19,A
168,64,A
144,44,A
155,71,A
136,14,A
99,42,A
129,78,A
174,46,A
172,29,A
190,69,A
168,20,A
195,47,A
191,53,A
153,15,A
180,45,A
173,41,A
134,48,A
166,23,A
102,5,A
34,22,A
99,42,A
30,64,A
22,47,A
11,53,A
8,74,A
30,20,A
5,53,A
0,44,A
35,21,A
142,76,A
168,64,A
149,11,A
128,6,A
186,69,A
191,72,A
157,55,A
164,51,A
192,71,A
150,20,A
38,56,A
20,12,A
11,46,A
99,42,A
183,7,A
129,4,A
184,78,A
168,64,A
70,4,A
30,20,A
160,21,A
168,20,A
30,64,A
65,28,A
1,32,A
78,81,A
196,33,A
190,12,A
169,26,A
170,7,A
173,28,A
168,20,A
2,27,A
119,20,A
79,64,A
156,4,A
161,2,A
77,3,A
99,42,A
90,2,A
193,70,A
159,2,A
176,26,A
180,61,A
165,22,A
46,42,A
19,63,A
30,20,A
33,42,A
20,43,A
82,4,A
61,2,A
16,38,A
30,20,A
30,46,A
34,55,A
80,3,A
61,3,A
99,42,A
31,24,A
79,20,A
11,60,A
35,33,A
34,19,A
30,20,A
83,3,A
176,55,A
135,29,A
188,37,A
100,82,A
99,42,A
30,64,A
57,72,A
150,57,A
163,7,A
131,10,A
148,52,A
164,6,A
168,64,A
131,78,A
174,65,A
141,3,A
161,67,A
168,64,A
169,45,A
90,84,A
168,20,A
162,28,A
136,18,A
168,20,A
154,41,A
148,81,A
187,76,A
189,73,A
192,72,A
180,43,A
167,44,A
178,43,A
184,40,A
180,38,A
158,81,A
38,77,A
30,64,A
151,59,A
195,31,A
155,77,A
182,41,A
99,42,A
148,63,A
168,64,A
34,71,A
74,42,A
42,33,A
30,20,A
37,70,A
26,41,A
29,83,A
8,13,A
30,20,A
36,66,A
28,50,A
52,3,A
30,21,A
18,43,A
99,42,A
79,64,A
21,42,A
168,65,A
46,45,A
29,2,A
149,82,A
12,51,A
99,42,A
34,18,A
161,29,A
135,44,A
186,74,A
156,40,A
134,12,A
36,45,A
55,42,A
132,4,A
37,79,A
150,43,A
41,41,A
67,8,A
30,20,A
15,36,A
13,38,A
142,82,A
56,3,A
194,61,A
151,83,A
134,25,A
177,44,A
26,42,A
45,20,A
30,20,A
99,42,A
79,20,A
4,63,A
33,83,A
193,16,A
190,9,A
133,52,A
168,20,A
184,38,A
196,33,A
179,41,A
176,4,A
10,8,A
193,68,A
32,33,A
66,69,A
59,3,A
42,18,A
37,76,A
30,64,A
45,81,A
172,39,A
69,11,A
30,49,A
30,64,A
31,82,A
13,38,A
30,20,A
9,12,A
173,80,A
142,64,A
24,47,A
153,22,A
168,20,A
192,12,A
164,19,A
99,42,A
99,42,A
113,80,A
95,59,A
19,36,A
99,42,A
25,2,A
68,21,A
2,43,A
125,3,A
197,42,A
8,12,A
9,13,A
30,64,A
179,39,A
38,25,A
168,64,A
161,35,A
196,36,A
162,56,A
84,4,A
58,54,A
175,41,A
119,83,A
22,23,A
67,5,A
119,64,A
26,41,A
190,76,A
131,11,A
197,47,A
172,28,A
154,83,A
148,42,A
193,52,A
158,19,A
29,42,A
18,39,A
36,26,A
27,55,A
41,41,A
30,20,A
5,19,A
77,70,A
153,54,A
148,68,A
178,37,A
155,40,A
99,42,A
4,26,A
170,55,A
165,47,A
177,20,A
168,20,A
79,20,A
174,18,A
153,83,A
196,49,A
39,24,A
163,26,A
168,20,A
164,1,A
172,11,A
146,26,A
130,79,A
144,62,A
130,62,A
177,43,A
168,20,A
88,1,A
30,37,A
1,32,A
30,26,A
1,51,A
23,36,A
156,57,A
133,24,A
4,17,A
5,30,A
30,64,A
38,72,A
30,64,A
60,82,A
32,28,A
42,39,A
25,55,A
28,51,A
79,64,A
96,5,A
192,59,A
167,49,A
168,64,A
79,81,A
183,48,A
99,42,A
35,43,A
112,3,A
168,64,A
45,82,A
61,75,A
17,46,A
13,62,A
30,64,A
31,44,A
35,19,A
67,78,A
23,53,A
99,42,A
30,70,A
167,55,A
168,64,A
150,60,A
194,28,A
192,36,A
59,17,A
30,20,A
68,23,A
11,8,A
82,42,A
20,44,A
47,82,A
38,21,A
90,84,A
75,79,A
79,64,A
77,70,A
79,64,A
73,2,A
6,19,A
29,47,A
139,53,A
195,62,A
30,5,A
20,5,A
29,58,A
21,38,A
32,35,A
79,20,A
43,81,A
23,5,A
187,57,A
1,49,A
1,43,A
168,64,A
168,64,A
160,48,A
4,65,A
23,5,A
30,20,A
29,51,A
19,33,A
64,46,A
30,64,A
99,42,A
5,35,A
63,7,A
152,27,A
166,80,A
168,42,A
183,57,A
30,20,A
30,20,A
173,40,A
192,13,A
119,64,A
168,64,A
174,37,A
168,20,A
154,7,A
163,81,A
155,82,A
2,31,A
3,41,A
168,64,A
147,81,A
131,80,A
168,64,A
187,78,A
180,28,A
180,42,A
168,20,A
168,64,A
191,65,A
30,64,A
110,80,A
68,63,A
69,67,A
26,38,A
50,37,A
28,61,A
30,64,A
15,6,A
172,43,A
177,81,A
25,31,A
30,20,A
155,43,A
177,47,A
63,70,A
173,41,A
3,48,A
25,46,A
9,72,A
166,24,A
182,67,A
138,20,A
171,44,A
79,20,A
11,50,A
27,82,A
168,20,A
172,57,A
168,64,A
22,67,A
69,75,A
25,55,A
27,49,A
12,8,A
58,76,A
176,37,A
180,42,A
