x,y,event
-73.0,37.0,Shot
-76.0,27.0,Shot
-37.0,35.0,Shot
58.0,15.0,Blocked Shot
-38.0,21.0,Shot
-36.0,34.0,Missed Shot
-52.0,-35.0,Shot
-38.0,20.0,Shot
-80.0,7.0,Shot
80.0,-4.0,Blocked Shot
-83.0,4.0,Shot
-82.0,-3.0,Shot
-34.0,-27.0,Shot
-71.0,16.0,Shot
-75.0,16.0,Missed Shot
-65.0,-6.0,Shot
-69.0,-12.0,Missed Shot
-53.0,-28.0,Shot
-61.0,31.0,Shot
-77.0,-7.0,Shot
-73.0,-13.0,Shot
-83.0,-7.0,Goal
73.0,-18.0,Blocked Shot
79.0,-5.0,Blocked Shot
-40.0,18.0,Goal
47.0,2.0,Shot
-98.0,0.0,Shot
75.0,-39.0,Shot
-49.0,4.0,Blocked Shot
75.0,-2.0,Goal
-75.0,-1.0,Blocked Shot
74.0,19.0,Shot
37.0,26.0,Shot
71.0,-21.0,Shot
-68.0,1.0,Blocked Shot
-82.0,7.0,Blocked Shot
75.0,1.0,Shot
67.0,-9.0,Goal
41.0,28.0,Missed Shot
56.0,-24.0,Missed Shot
73.0,0.0,Shot
38.0,-7.0,Missed Shot
63.0,-20.0,Shot
56.0,38.0,Shot
78.0,2.0,Missed Shot
68.0,15.0,Shot
-44.0,-13.0,Missed Shot
-47.0,31.0,Missed Shot
-40.0,4.0,Goal
72.0,9.0,Blocked Shot
-81.0,34.0,Shot
-81.0,4.0,Shot
82.0,-10.0,Blocked Shot
-62.0,-14.0,Missed Shot
-39.0,-28.0,Missed Shot
-23.0,40.0,Shot
-72.0,33.0,Shot
-74.0,-3.0,Shot
-36.0,32.0,Shot
-87.0,-22.0,Shot
-58.0,-18.0,Missed Shot
75.0,4.0,Blocked Shot
-85.0,-28.0,Shot
-74.0,10.0,Shot
-81.0,4.0,Goal
-59.0,-18.0,Shot
-73.0,-12.0,Shot
-37.0,-30.0,Shot
-35.0,-8.0,Shot
73.0,-15.0,Blocked Shot
-50.0,-17.0,Missed Shot
-36.0,37.0,Shot
-70.0,6.0,Missed Shot
-37.0,29.0,Missed Shot
62.0,0.0,Blocked Shot
-34.0,-25.0,Shot
-50.0,36.0,Shot
-80.0,4.0,Missed Shot
-65.0,-16.0,Missed Shot
77.0,3.0,Blocked Shot
53.0,-16.0,Blocked Shot
68.0,-2.0,Blocked Shot
-80.0,7.0,Shot
-37.0,-21.0,Shot
-37.0,16.0,Shot
-36.0,-33.0,Shot
-77.0,-1.0,Missed Shot
-79.0,33.0,Missed Shot
-61.0,-18.0,Missed Shot
-41.0,-21.0,Shot
-79.0,-3.0,Shot
-85.0,-7.0,Shot
-60.0,14.0,Shot
-57.0,24.0,Missed Shot
-69.0,4.0,Shot
72.0,16.0,Shot
82.0,-35.0,Shot
65.0,15.0,Shot
77.0,-1.0,Shot
52.0,-5.0,Missed Shot
58.0,-22.0,Shot
81.0,-3.0,Goal
62.0,38.0,Missed Shot
56.0,-8.0,Shot
84.0,-3.0,Shot
-68.0,0.0,Blocked Shot
36.0,32.0,Shot
33.0,29.0,Shot
45.0,-34.0,Shot
23.0,-27.0,Missed Shot
-81.0,-4.0,Shot
-76.0,-33.0,Shot
-79.0,5.0,Missed Shot
-78.0,21.0,Goal
-33.0,7.0,Shot
78.0,0.0,Blocked Shot
-76.0,33.0,Missed Shot
-85.0,25.0,Missed Shot
-36.0,11.0,Missed Shot
-74.0,-32.0,Shot
-87.0,-14.0,Shot
-77.0,4.0,Missed Shot
-83.0,33.0,Shot
-82.0,27.0,Shot
-48.0,-37.0,Missed Shot
-77.0,-21.0,Shot
-38.0,5.0,Shot
73.0,18.0,Blocked Shot
-40.0,19.0,Shot
78.0,-21.0,Blocked Shot
75.0,-3.0,Blocked Shot
-43.0,31.0,Missed Shot
-68.0,32.0,Missed Shot
-81.0,-26.0,Shot
65.0,12.0,Blocked Shot
-83.0,-17.0,Shot
-44.0,13.0,Missed Shot
59.0,12.0,Blocked Shot
-79.0,-11.0,Shot
77.0,-9.0,Blocked Shot
53.0,-3.0,Blocked Shot
64.0,15.0,Blocked Shot
-75.0,6.0,Shot
59.0,-9.0,Blocked Shot
-64.0,19.0,Shot
9.0,-20.0,Shot
81.0,-8.0,Shot
67.0,-23.0,Shot
52.0,18.0,Goal
86.0,29.0,Missed Shot
79.0,-3.0,Missed Shot
40.0,-25.0,Shot
46.0,-36.0,Missed Shot
46.0,-22.0,Shot
59.0,11.0,Shot
64.0,23.0,Shot
80.0,27.0,Shot
-71.0,-12.0,Blocked Shot
-52.0,14.0,Blocked Shot
67.0,-32.0,Shot
61.0,4.0,Missed Shot
72.0,-12.0,Blocked Shot
-74.0,-17.0,Shot
43.0,-23.0,Blocked Shot
-74.0,-13.0,Shot
75.0,1.0,Blocked Shot
77.0,-13.0,Blocked Shot
-82.0,-9.0,Shot
-35.0,29.0,Missed Shot
-38.0,-18.0,Shot
61.0,24.0,Blocked Shot
71.0,8.0,Blocked Shot
-68.0,-23.0,Shot
-40.0,4.0,Shot
65.0,12.0,Blocked Shot
-45.0,25.0,Shot
-56.0,29.0,Shot
-40.0,30.0,Shot
-80.0,-9.0,Blocked Shot
42.0,31.0,Shot
-61.0,13.0,Blocked Shot
-64.0,4.0,Blocked Shot
76.0,31.0,Shot
-75.0,-1.0,Blocked Shot
80.0,28.0,Shot
36.0,-18.0,Shot
82.0,-31.0,Shot
-71.0,-6.0,Blocked Shot
58.0,-24.0,Missed Shot
67.0,5.0,Missed Shot
74.0,9.0,Shot
-75.0,1.0,Blocked Shot
66.0,19.0,Shot
83.0,7.0,Shot
46.0,11.0,Shot
67.0,2.0,Shot
40.0,-31.0,Shot
84.0,-6.0,Missed Shot
76.0,-31.0,Shot
18.0,6.0,Shot
85.0,-3.0,Goal
-71.0,-6.0,Blocked Shot
-57.0,-24.0,Shot
-72.0,-18.0,Missed Shot
16.0,22.0,Shot
67.0,-14.0,Blocked Shot
-37.0,25.0,Shot
-80.0,-12.0,Shot
