x,y,group
99.0,42.0,A
145.0,82.0,A
99.0,42.0,A
149.0,3.0,A
160.0,10.0,A
168.0,20.0,A
144.0,20.0,A
159.0,25.0,A
34.0,61.0,A
32.0,2.0,A
91.0,15.0,A
30.0,64.0,A
29.0,55.0,A
39.0,38.0,A
30.0,20.0,A
162.0,46.0,A
151.0,21.0,A
30.0,64.0,A
28.0,53.0,A
4.0,65.0,A
30.0,20.0,A
36.0,9.0,A
30.0,20.0,A
38.0,32.0,A
30.0,20.0,A
16.0,6.0,A
163.0,73.0,A
24.0,33.0,A
175.0,41.0,A
30.0,20.0,A
112.0,83.0,A
72.0,5.0,A
26.0,54.0,A
23.0,43.0,A
33.0,25.0,A
30.0,20.0,A
68.0,2.0,A
41.0,49.0,A
30.0,64.0,A
27.0,42.0,A
30.0,20.0,A
39.0,4.0,A
41.0,82.0,A
26.0,51.0,A
67.0,77.0,A
68.0,83.0,A
68.0,83.0,A
197.0,30.0,A
195.0,19.0,A
30.0,64.0,A
33.0,83.0,A
195.0,62.0,A
18.0,38.0,A
17.0,81.0,A
30.0,20.0,A
64.0,13.0,A
196.0,58.0,A
174.0,38.0,A
168.0,20.0,A
147.0,76.0,A
127.0,5.0,A
51.0,46.0,A
148.0,70.0,A
17.0,50.0,A
186.0,13.0,A
119.0,20.0,A
197.0,60.0,A
38.0,75.0,A
139.0,27.0,A
162.0,48.0,A
132.0,3.0,A
4.0,62.0,A
155.0,22.0,A
119.0,64.0,A
62.0,11.0,A
5.0,71.0,A
57.0,72.0,A
140.0,50.0,A
194.0,56.0,A
90.0,3.0,A
163.0,26.0,A
171.0,46.0,A
175.0,41.0,A
168.0,64.0,A
119.0,20.0,A
24.0,70.0,A
18.0,45.0,A
196.0,19.0,A
167.0,81.0,A
168.0,20.0,A
150.0,27.0,A
168.0,20.0,A
49.0,66.0,A
99.0,42.0,A
197.0,37.0,A
173.0,33.0,A
99.0,42.0,A
99.0,42.0,A
46.0,83.0,A
155.0,56.0,A
183.0,78.0,A
153.0,35.0,A
160.0,45.0,A
176.0,81.0,A
169.0,58.0,A
7.0,74.0,A
189.0,8.0,A
17.0,28.0,A
30.0,20.0,A
180.0,76.0,A
170.0,51.0,A
171.0,44.0,A
99.0,42.0,A
155.0,82.0,A
19.0,46.0,A
62.0,23.0,A
130.0,22.0,A
195.0,22.0,A
168.0,64.0,A
175.0,65.0,A
193.0,68.0,A
62.0,28.0,A
89.0,4.0,A
156.0,71.0,A
54.0,51.0,A
46.0,23.0,A
30.0,20.0,A
119.0,20.0,A
17.0,6.0,A
182.0,48.0,A
168.0,64.0,A
173.0,52.0,A
190.0,65.0,A
27.0,16.0,A
178.0,55.0,A
173.0,51.0,A
30.0,64.0,A
40.0,66.0,A
19.0,40.0,A
30.0,20.0,A
178.0,80.0,A
178.0,42.0,A
165.0,41.0,A
56.0,3.0,A
22.0,25.0,A
6.0,21.0,A
197.0,57.0,A
184.0,78.0,A
56.0,80.0,A
30.0,64.0,A
27.0,47.0,A
33.0,44.0,A
30.0,20.0,A
30.0,64.0,A
54.0,73.0,A
22.0,40.0,A
18.0,48.0,A
30.0,64.0,A
21.0,44.0,A
46.0,23.0,A
62.0,82.0,A
168.0,20.0,A
190.0,74.0,A
22.0,49.0,A
30.0,20.0,A
178.0,42.0,A
179.0,54.0,A
22.0,41.0,A
4.0,57.0,A
119.0,64.0,A
129.0,69.0,A
99.0,42.0,A
173.0,22.0,A
18.0,78.0,A
138.0,63.0,A
147.0,9.0,A
168.0,20.0,A
29.0,64.0,A
46.0,47.0,A
30.0,64.0,A
57.0,72.0,A
30.0,64.0,A
18.0,40.0,A
30.0,20.0,A
195.0,64.0,A
168.0,64.0,A
139.0,70.0,A
79.0,20.0,A
119.0,64.0,A
119.0,64.0,A
16.0,60.0,A
30.0,64.0,A
169.0,5.0,A
131.0,69.0,A
155.0,47.0,A
168.0,64.0,A
173.0,4.0,A
155.0,30.0,A
164.0,30.0,A
162.0,60.0,A
153.0,37.0,A
164.0,82.0,A
57.0,46.0,A
20.0,44.0,A
195.0,32.0,A
159.0,74.0,A
21.0,73.0,A
54.0,3.0,A
0.0,54.0,A
30.0,64.0,A
197.0,59.0,A
149.0,8.0,A
38.0,56.0,A
38.0,33.0,A
19.0,45.0,A
30.0,64.0,A
26.0,28.0,A
47.0,71.0,A
99.0,42.0,A
91.0,77.0,A
193.0,62.0,A
139.0,18.0,A
168.0,20.0,A
159.0,42.0,A
1.0,30.0,A
6.0,63.0,A
46.0,14.0,A
30.0,20.0,A
119.0,64.0,A
195.0,68.0,A
171.0,76.0,A
168.0,64.0,A
183.0,37.0,A
168.0,20.0,A
174.0,43.0,A
99.0,42.0,A
36.0,56.0,A
99.0,42.0,A
48.0,53.0,A
48.0,61.0,A
168.0,20.0,A
119.0,64.0,A
177.0,44.0,A
168.0,52.0,A
99.0,42.0,A
152.0,43.0,A
130.0,74.0,A
99.0,42.0,A
123.0,52.0,A
99.0,42.0,A
119.0,20.0,A
24.0,19.0,A
99.0,42.0,A
193.0,19.0,A
168.0,64.0,A
144.0,44.0,A
155.0,71.0,A
136.0,14.0,A
99.0,42.0,A
129.0,78.0,A
174.0,46.0,A
172.0,29.0,A
190.0,69.0,A
168.0,20.0,A
195.0,47.0,A
191.0,53.0,A
153.0,15.0,A
180.0,45.0,A
173.0,41.0,A
134.0,48.0,A
166.0,23.0,A
102.0,5.0,A
34.0,22.0,A
99.0,42.0,A
30.0,64.0,A
22.0,47.0,A
11.0,53.0,A
8.0,74.0,A
30.0,20.0,A
5.0,53.0,A
0.0,44.0,A
35.0,21.0,A
142.0,76.0,A
168.0,64.0,A
149.0,11.0,A
128.0,6.0,A
186.0,69.0,A
191.0,72.0,A
157.0,55.0,A
164.0,51.0,A
192.0,71.0,A
150.0,20.0,A
38.0,56.0,A
20.0,12.0,A
11.0,46.0,A
99.0,42.0,A
183.0,7.0,A
129.0,4.0,A
184.0,78.0,A
168.0,64.0,A
70.0,4.0,A
30.0,20.0,A
160.0,21.0,A
168.0,20.0,A
30.0,64.0,A
65.0,28.0,A
1.0,32.0,A
78.0,81.0,A
196.0,33.0,A
190.0,12.0,A
169.0,26.0,A
170.0,7.0,A
173.0,28.0,A
168.0,20.0,A
2.0,27.0,A
119.0,20.0,A
79.0,64.0,A
156.0,4.0,A
161.0,2.0,A
77.0,3.0,A
99.0,42.0,A
90.0,2.0,A
193.0,70.0,A
159.0,2.0,A
176.0,26.0,A
180.0,61.0,A
165.0,22.0,A
46.0,42.0,A
19.0,63.0,A
30.0,20.0,A
33.0,42.0,A
20.0,43.0,A
82.0,4.0,A
61.0,2.0,A
16.0,38.0,A
30.0,20.0,A
30.0,46.0,A
34.0,55.0,A
80.0,3.0,A
61.0,3.0,A
99.0,42.0,A
